,year,num_adults,num_children,req_income_pretax
48,2019,1,0,36331
49,2019,1,1,72070
50,2019,1,2,84121
51,2019,1,3,110124
56,2019,2,0,54589
57,2019,2,1,77389
58,2019,2,2,90255
59,2019,2,3,112305
0,2020,1,0,34288
1,2020,1,1,70026
2,2020,1,2,82942
3,2020,1,3,107709
8,2020,2,0,52786
9,2020,2,1,76105
10,2020,2,2,88932
11,2020,2,3,111100
12,2021,1,0,45520
13,2021,1,1,96907
14,2021,1,2,120953
15,2021,1,3,159990
20,2021,2,0,71284
21,2021,2,1,103500
22,2021,2,2,129614
23,2021,2,3,160957
24,2022,1,0,50463
25,2022,1,1,103093
26,2022,1,2,129759
27,2022,1,3,175426
32,2022,2,0,75982
33,2022,2,1,110937
34,2022,2,2,142524
35,2022,2,3,177831
36,2023,1,0,46488
37,2023,1,1,100148
38,2023,1,2,132417
39,2023,1,3,179716
44,2023,2,0,71332
45,2023,2,1,108090
46,2023,2,2,139375
47,2023,2,3,178300
