,name,applied,year,household_income,number_adults,number_children,additional_expenses,employment,divorce,medical,education,immigration,housing,total_circumstances,single,family,family_base_income,circumstance_cost_text,circumstance_cost,single_cost_text,single_cost,extra_cost,family_need_income,disposable_income,disposable_unit_text,disposable_unit,family_disposable_unit,percent_eligible,combination
0,a,yes,2022,0,1,1,none,0,0,0,0,0,0,0,1,0,84412.67,mid,2000.0,whole,7704.666666666671,7704.67,92117.33,-92117.33,hi,7000.0,10500.0,90,12
1,b,yes,2022,0,1,1,none,0,0,0,0,0,0,0,1,0,84412.67,mid,2000.0,whole,7704.666666666671,7704.67,92117.33,-92117.33,hi,7000.0,10500.0,90,12
2,d,yes,2022,0,2,2,none,0,0,0,0,0,0,0,0,0,126033.67,mid,2000.0,whole,0.0,0.0,126033.67,-126033.67,hi,7000.0,21000.0,90,12
3,c,yes,2022,0,3,2,none,0,0,0,0,0,0,0,0,0,133705.0,mid,2000.0,whole,0.0,0.0,133705.0,-133705.0,hi,7000.0,24500.0,90,12
4,e,yes,2022,10000,1,2,none,0,0,0,0,0,0,0,1,0,118362.33,mid,2000.0,whole,15409.333333333341,15409.33,133771.67,-123771.67,hi,7000.0,17500.0,90,12
5,f,yes,2022,15500,1,1,I have an injury that is keeping me from work,0,0,1,0,0,0,1,1,0,84412.67,mid,2000.0,whole,7704.666666666671,9704.67,94117.33,-78617.33,hi,7000.0,10500.0,90,12
6,g,yes,2022,26800,1,1,our housing costs have gone up substantially,0,0,0,0,0,1,1,1,0,84412.67,mid,2000.0,whole,7704.666666666671,9704.67,94117.33,-67317.33,hi,7000.0,10500.0,90,12
7,h,yes,2022,27000,12,3,none,0,0,0,0,0,0,0,0,0,236696.67,mid,2000.0,whole,0.0,0.0,236696.67,-209696.67,hi,7000.0,63000.0,90,12
8,i,yes,2022,30000,2,2,none,0,0,0,0,0,0,0,0,0,126033.67,mid,2000.0,whole,0.0,0.0,126033.67,-96033.67,hi,7000.0,21000.0,90,12
9,j,yes,2022,30000,3,1,none,0,0,0,0,0,0,0,0,0,99755.33,mid,2000.0,whole,0.0,0.0,99755.33,-69755.33,hi,7000.0,17500.0,90,12
10,k,yes,2022,35000,1,1,none,0,0,0,0,0,0,0,1,0,84412.67,mid,2000.0,whole,7704.666666666671,7704.67,92117.33,-57117.33,hi,7000.0,10500.0,90,12
