,household_income,year,number_adults,number_children,single,employment,divorce,medical,education,immigration,housing,total_circumstances,percent_award,circumstance_cost,disposable_unit,extra_cost,single_parent_cost,family_base_income,family_need_income,disposable_income,family_disposable_unit,percent_eligible
0,30000.0,2019,2,3,0,0,0,0,0,0,0,0,40.0,1000.0,5000.0,0.0,0.0,98591.66666666666,98591.66666666666,-68591.66666666666,20000.0,90
1,50000.0,2019,1,1,1,0,0,0,0,0,0,0,60.0,1000.0,5000.0,5359.0,5359.0,55569.66666666667,60928.66666666667,-10928.666666666672,7500.0,90
2,26800.0,2019,1,1,1,0,0,0,0,0,0,0,40.0,1000.0,5000.0,5359.0,5359.0,55569.66666666667,60928.66666666667,-34128.66666666667,7500.0,90
3,50000.0,2019,1,1,1,0,0,0,0,0,0,0,100.0,1000.0,5000.0,5359.0,5359.0,55569.66666666667,60928.66666666667,-10928.666666666672,7500.0,90
4,102912.0,2020,3,1,0,0,0,0,0,0,0,0,90.0,1000.0,5000.0,0.0,0.0,64032.666666666664,64032.666666666664,38879.333333333336,12500.0,0
5,41000.0,2020,2,2,0,1,0,0,0,0,0,1,95.0,1000.0,5000.0,1000.0,0.0,78317.33333333334,79317.33333333334,-38317.33333333334,15000.0,90
6,90000.0,2020,5,2,0,0,0,0,1,0,0,1,90.0,1000.0,5000.0,1000.0,0.0,93777.33333333333,94777.33333333333,-4777.3333333333285,22500.0,90
7,75000.0,2020,2,4,0,1,0,0,0,0,0,1,90.0,1000.0,5000.0,1000.0,0.0,117193.33333333334,118193.33333333334,-43193.33333333334,25000.0,90
8,40000.0,2020,1,1,1,1,0,0,1,0,0,2,90.0,1000.0,5000.0,7035.666666666668,5035.666666666668,53726.0,60761.66666666667,-20761.66666666667,7500.0,90
9,70000.0,2020,1,1,1,0,0,0,0,0,0,0,89.0,1000.0,5000.0,5035.666666666668,5035.666666666668,53726.0,58761.66666666667,11238.333333333328,7500.0,70
10,80000.0,2020,2,2,0,0,0,0,0,0,0,0,0.0,1000.0,5000.0,0.0,0.0,78317.33333333334,78317.33333333334,1682.666666666657,15000.0,80
11,26500.0,2020,1,1,1,0,0,0,0,0,0,0,95.0,1000.0,5000.0,5035.666666666668,5035.666666666668,53726.0,58761.66666666667,-32261.66666666667,7500.0,90
12,50000.0,2020,1,1,1,0,0,0,0,0,0,0,95.0,1000.0,5000.0,5035.666666666668,5035.666666666668,53726.0,58761.66666666667,-8761.666666666672,7500.0,90
13,30000.0,2020,1,1,1,1,0,0,1,0,1,3,95.0,1000.0,5000.0,8035.666666666668,5035.666666666668,53726.0,61761.66666666667,-31761.66666666667,7500.0,90
14,80000.0,2020,1,1,1,0,0,0,1,0,1,2,89.0,1000.0,5000.0,7035.666666666668,5035.666666666668,53726.0,60761.66666666667,19238.33333333333,7500.0,0
15,80000.0,2020,1,2,1,0,0,0,0,0,1,1,90.0,1000.0,5000.0,8553.500000000002,7553.500000000002,73164.0,81717.5,-1717.5,12500.0,90
16,50000.0,2020,3,3,0,0,0,0,0,0,0,0,95.0,1000.0,5000.0,0.0,0.0,102908.66666666666,102908.66666666666,-52908.66666666666,22500.0,90
17,50000.0,2020,3,3,0,0,0,0,0,0,0,0,95.0,1000.0,5000.0,0.0,0.0,102908.66666666666,102908.66666666666,-52908.66666666666,22500.0,90
18,40000.0,2021,1,1,1,1,0,0,1,0,1,3,90.0,2000.0,7000.0,14265.666666666664,8265.666666666664,75411.0,89676.66666666666,-49676.66666666666,10500.0,90
19,50000.0,2021,3,1,0,0,0,0,1,0,0,1,91.67,2000.0,7000.0,2000.0,0.0,86225.0,88225.0,-38225.0,17500.0,90
20,45000.0,2021,1,1,1,0,0,0,0,0,0,0,80.0,2000.0,7000.0,8265.666666666664,8265.666666666664,75411.0,83676.66666666666,-38676.66666666666,10500.0,90
21,130000.0,2021,4,1,0,0,0,0,0,0,1,1,86.67,2000.0,7000.0,2000.0,0.0,91632.0,93632.0,36368.0,21000.0,50
22,40000.0,2021,1,3,1,0,0,0,1,0,1,2,91.67,2000.0,7000.0,20531.33333333333,16531.33333333333,135193.0,155724.3333333333,-115724.33333333331,24500.0,90
23,50000.0,2021,1,1,1,0,0,0,0,0,0,0,91.67,2000.0,7000.0,8265.666666666664,8265.666666666664,75411.0,83676.66666666666,-33676.66666666666,10500.0,90
24,15549.0,2021,1,1,1,0,0,0,0,0,0,0,95.0,2000.0,7000.0,8265.666666666664,8265.666666666664,75411.0,83676.66666666666,-68127.66666666666,10500.0,90
25,85000.0,2021,1,2,1,0,0,0,0,0,1,1,88.89,2000.0,7000.0,14398.499999999996,12398.499999999996,105302.0,119700.5,-34700.5,17500.0,90
26,80000.0,2022,2,2,0,0,0,1,1,0,0,2,90.0,2000.0,7000.0,4000.0,0.0,126033.66666666666,130033.66666666666,-50033.66666666666,21000.0,90
27,90000.0,2022,2,3,0,0,0,1,1,0,0,2,90.0,2000.0,7000.0,4000.0,0.0,159983.33333333334,163983.33333333334,-73983.33333333334,28000.0,90
28,160000.0,2022,2,2,0,0,0,0,0,0,0,0,0.0,2000.0,7000.0,0.0,0.0,126033.66666666666,126033.66666666666,33966.33333333334,21000.0,50
29,0.0,2022,1,2,1,0,0,0,0,0,0,0,90.0,2000.0,7000.0,11557.000000000005,11557.000000000005,118362.33333333333,129919.33333333333,-129919.33333333333,17500.0,90
30,81000.0,2022,1,1,1,0,1,0,0,0,1,2,90.0,2000.0,7000.0,11704.666666666672,7704.666666666671,84412.66666666666,96117.33333333333,-15117.333333333328,10500.0,90
31,137000.0,2022,1,1,1,0,0,0,0,0,0,0,0.0,2000.0,7000.0,7704.666666666671,7704.666666666671,84412.66666666666,92117.33333333333,44882.66666666667,10500.0,0
32,105000.0,2022,1,2,1,0,1,0,0,0,0,1,85.0,2000.0,7000.0,13557.000000000005,11557.000000000005,118362.33333333333,131919.33333333334,-26919.333333333343,17500.0,90
33,30000.0,2022,1,1,1,1,0,0,1,0,1,3,90.0,2000.0,7000.0,13704.666666666672,7704.666666666671,84412.66666666666,98117.33333333333,-68117.33333333333,10500.0,90
34,150000.0,2022,3,2,0,0,0,1,1,0,0,2,50.0,2000.0,7000.0,4000.0,0.0,133705.0,137705.0,12295.0,24500.0,80
35,105000.0,2022,1,2,1,0,1,0,0,0,1,2,85.0,2000.0,7000.0,15557.000000000005,11557.000000000005,118362.33333333333,133919.33333333334,-28919.333333333343,17500.0,90
36,,2022,0,0,0,0,0,0,0,0,0,0,0.0,2000.0,7000.0,0.0,0.0,42791.666666666664,42791.666666666664,,0.0,0
37,,2022,1,1,1,0,0,0,0,0,0,0,0.0,2000.0,7000.0,7704.666666666671,7704.666666666671,84412.66666666666,92117.33333333333,,10500.0,0
38,50000.0,2022,2,3,0,0,0,0,0,0,0,0,90.0,2000.0,7000.0,0.0,0.0,159983.33333333334,159983.33333333334,-109983.33333333334,28000.0,90
39,50000.0,2022,2,3,0,0,0,0,0,0,0,0,90.0,2000.0,7000.0,0.0,0.0,159983.33333333334,159983.33333333334,-109983.33333333334,28000.0,90
